# output of https://query.wikidata.org/#SELECT%20%3Fhuman%20%3FhumanLabel%20%0AWHERE%0A%7B%0A%20%20%3Fhuman%20wdt%3AP31%20wd%3AQ5%20.%0A%20%20%3Fhuman%20wdt%3AP21%20wd%3AQ6581097%20.%20%23%20men%3A%20Q6581097%20%23%20women%3A%20Q6581072%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20%7D%0A%7D%20LIMIT%202500
human	humanLabel
http://www.wikidata.org/entity/Q5793	Shelly-Ann Fraser-Pryce
http://www.wikidata.org/entity/Q5795	Carmelita Jeter
http://www.wikidata.org/entity/Q5796	Veronica Campbell-Brown
http://www.wikidata.org/entity/Q5799	Allyson Felix
http://www.wikidata.org/entity/Q5803	Sanya Richards-Ross
http://www.wikidata.org/entity/Q5805	Christine Ohuruogu
http://www.wikidata.org/entity/Q5807	DeeDee Trotter
http://www.wikidata.org/entity/Q5820	Mariya Savinova
http://www.wikidata.org/entity/Q5834	Caster Semenya
http://www.wikidata.org/entity/Q5844	Aslı Çakır Alptekin
http://www.wikidata.org/entity/Q5865	Maryam Yusuf Jamal
http://www.wikidata.org/entity/Q5877	Meseret Defar
http://www.wikidata.org/entity/Q5998	Vivian Cheruiyot
http://www.wikidata.org/entity/Q6003	Tirunesh Dibaba
http://www.wikidata.org/entity/Q6008	Sally Kipyego
http://www.wikidata.org/entity/Q6017	Yuliya Zaripova
http://www.wikidata.org/entity/Q6021	Sofia Assefa
http://www.wikidata.org/entity/Q6026	Sally Pearson
http://www.wikidata.org/entity/Q6030	Dawn Harper-Nelson
http://www.wikidata.org/entity/Q6033	Kellie Wells
http://www.wikidata.org/entity/Q6050	Anna de Noailles
http://www.wikidata.org/entity/Q6079	Natalya Antyukh
http://www.wikidata.org/entity/Q6086	Lashina Demus
http://www.wikidata.org/entity/Q6091	Jessica B. Hill
http://www.wikidata.org/entity/Q6100	Tatyana Chernova
http://www.wikidata.org/entity/Q6105	Hebe Camargo
http://www.wikidata.org/entity/Q6242	Marianne Vos
http://www.wikidata.org/entity/Q6260	Tiki Gelana
http://www.wikidata.org/entity/Q6270	Priscah Jeptoo
http://www.wikidata.org/entity/Q6281	Elena Lashmanova
http://www.wikidata.org/entity/Q6294	Hillary Clinton
http://www.wikidata.org/entity/Q6297	Olga Kaniskina
http://www.wikidata.org/entity/Q6300	Anna Chicherova
http://www.wikidata.org/entity/Q6304	Brigetta Barrett
http://www.wikidata.org/entity/Q6310	Jennifer Suhr
http://www.wikidata.org/entity/Q6312	Yarisley Silva
http://www.wikidata.org/entity/Q6319	Yelena Isinbayeva
http://www.wikidata.org/entity/Q6324	Brittney Reese
http://www.wikidata.org/entity/Q6332	Janay DeLoach
http://www.wikidata.org/entity/Q6338	Olga Rypakova
http://www.wikidata.org/entity/Q6348	Caterine Ibargüen
http://www.wikidata.org/entity/Q6351	Olha Saladukha
http://www.wikidata.org/entity/Q6357	Valerie Adams
http://www.wikidata.org/entity/Q6363	Yevgeniya Kolodko
http://www.wikidata.org/entity/Q6367	Ana Free
http://www.wikidata.org/entity/Q6370	Gong Lijiao
http://www.wikidata.org/entity/Q6379	Sandra Perković
http://www.wikidata.org/entity/Q6386	Darya Pishchalnikova
http://www.wikidata.org/entity/Q6391	Li Yanfeng
http://www.wikidata.org/entity/Q6395	Tatyana Lysenko
http://www.wikidata.org/entity/Q6399	Anita Włodarczyk
http://www.wikidata.org/entity/Q6404	Betty Heidler
http://www.wikidata.org/entity/Q6419	Barbora Špotáková
http://www.wikidata.org/entity/Q6427	Christina Obergföll
http://www.wikidata.org/entity/Q6432	Linda Stahl
http://www.wikidata.org/entity/Q6950	Tess Gerritsen
http://www.wikidata.org/entity/Q7013	Lena Meyer-Landrut
http://www.wikidata.org/entity/Q7099	Emmy Noether
http://www.wikidata.org/entity/Q7103	Sophie Germain
http://www.wikidata.org/entity/Q7186	Marie Curie
http://www.wikidata.org/entity/Q7195	Elizabeth Ann Nalley
http://www.wikidata.org/entity/Q7197	Simone de Beauvoir
http://www.wikidata.org/entity/Q7201	Dorothy M. Needham
http://www.wikidata.org/entity/Q7207	Elizabeth I of England
http://www.wikidata.org/entity/Q7212	Pauline Newman
http://www.wikidata.org/entity/Q7223	Wilma Olson
http://www.wikidata.org/entity/Q7226	Joan of Arc
http://www.wikidata.org/entity/Q7229	Marie-Anne Paulze Lavoisier
http://www.wikidata.org/entity/Q7231	Rosa Luxemburg
http://www.wikidata.org/entity/Q7236	Lucy Weston Pickett
http://www.wikidata.org/entity/Q7249	Agnes Pockels
http://www.wikidata.org/entity/Q7255	Darshan Ranganathan
http://www.wikidata.org/entity/Q7259	Ada Lovelace
http://www.wikidata.org/entity/Q7267	Hazel Alden Reason
http://www.wikidata.org/entity/Q7273	Ellen Swallow Richards
http://www.wikidata.org/entity/Q7276	Anca Mosoiu
http://www.wikidata.org/entity/Q7286	Émilie du Châtelet
http://www.wikidata.org/entity/Q7287	Ruby Hirose
http://www.wikidata.org/entity/Q7290	Annette Salmeen
http://www.wikidata.org/entity/Q7300	Katsuko Saruhashi
http://www.wikidata.org/entity/Q7306	Patsy O'Connell Sherman
http://www.wikidata.org/entity/Q7309	Maxine Singer
http://www.wikidata.org/entity/Q7335	Miep Gies
http://www.wikidata.org/entity/Q7337	Edith Frank-Holländer
http://www.wikidata.org/entity/Q7339	Margot Frank
http://www.wikidata.org/entity/Q7406	Kamala Sohonie
http://www.wikidata.org/entity/Q7409	Hertha Sponer
