# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%20wd%3AQ11707%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22%20.%20%7D%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q10939	Brasserie Georges
http://www.wikidata.org/entity/Q11706	Windows on the World
http://www.wikidata.org/entity/Q48592	Noma
http://www.wikidata.org/entity/Q55151	Huey's
http://www.wikidata.org/entity/Q82844	Olo
http://www.wikidata.org/entity/Q153072	Leopold Cafe
http://www.wikidata.org/entity/Q171475	Herberg Onder de Linden
http://www.wikidata.org/entity/Q187177	Hanau pavilion
http://www.wikidata.org/entity/Q252559	Bahnhofbuffet Olten
http://www.wikidata.org/entity/Q258667	Yung Kee
http://www.wikidata.org/entity/Q263063	Cold Spring Tavern
http://www.wikidata.org/entity/Q339916	Ace Cafe London
http://www.wikidata.org/entity/Q422192	El Celler de Can Roca
http://www.wikidata.org/entity/Q423566	Blockhaus Nikolskoe
http://www.wikidata.org/entity/Q429618	A38
http://www.wikidata.org/entity/Q436116	Q436116
http://www.wikidata.org/entity/Q459755	Wienerwald
http://www.wikidata.org/entity/Q520281	Bierpinsel
http://www.wikidata.org/entity/Q559749	El Faro Restaurant
http://www.wikidata.org/entity/Q564259	Oyster Bar
http://www.wikidata.org/entity/Q564293	Lombardi's Pizza
http://www.wikidata.org/entity/Q564516	Serendipity 3
http://www.wikidata.org/entity/Q586599	Peter Luger Steak House
http://www.wikidata.org/entity/Q614681	Le Boeuf sur le Toit
http://www.wikidata.org/entity/Q618114	21 Club
http://www.wikidata.org/entity/Q629326	Flunch
http://www.wikidata.org/entity/Q671774	Piz Gloria
http://www.wikidata.org/entity/Q682004	Madrona Manor
http://www.wikidata.org/entity/Q699142	Din Tai Fung
http://www.wikidata.org/entity/Q708628	Ongryugwan
http://www.wikidata.org/entity/Q751293	Café Procope
http://www.wikidata.org/entity/Q752482	Gundel
http://www.wikidata.org/entity/Q759261	Q759261
http://www.wikidata.org/entity/Q767022	Bar mleczny
http://www.wikidata.org/entity/Q776272	Yoshinoya
http://www.wikidata.org/entity/Q777211	Borsteler Mühle
http://www.wikidata.org/entity/Q799152	Badischer Hof
http://www.wikidata.org/entity/Q810573	Bastei
http://www.wikidata.org/entity/Q821109	Berlin-Pavillon (Hansaviertel)
http://www.wikidata.org/entity/Q832800	Q832800
http://www.wikidata.org/entity/Q839257	Wong Kei
http://www.wikidata.org/entity/Q848397	Maiden's Tower
http://www.wikidata.org/entity/Q851372	Buddha Bar
http://www.wikidata.org/entity/Q858661	Big Chicken
http://www.wikidata.org/entity/Q868676	Café de la Rotonde
http://www.wikidata.org/entity/Q869348	Costes
http://www.wikidata.org/entity/Q876820	Tantris
http://www.wikidata.org/entity/Q877651	Stiftskeller St. Peter
http://www.wikidata.org/entity/Q879342	Konnopke’s Imbiss
http://www.wikidata.org/entity/Q886573	Blutgericht
http://www.wikidata.org/entity/Q895021	Bouillon Racine
http://www.wikidata.org/entity/Q895022	Bouillon
http://www.wikidata.org/entity/Q917258	elBulli
http://www.wikidata.org/entity/Q933962	Café du Commerce
http://www.wikidata.org/entity/Q963973	Frank Pepe Pizzeria Napoletana
http://www.wikidata.org/entity/Q977178	Café Guarany
http://www.wikidata.org/entity/Q984263	house of Machiavelli
http://www.wikidata.org/entity/Q996381	Q996381
http://www.wikidata.org/entity/Q1017380	Q1017380
http://www.wikidata.org/entity/Q1025640	Café Moskau
http://www.wikidata.org/entity/Q1025686	Café de Flore
http://www.wikidata.org/entity/Q1025688	Café de la Nouvelle Athènes
http://www.wikidata.org/entity/Q1025695	Le Dôme Café
http://www.wikidata.org/entity/Q1030022	Caffè Umbria
http://www.wikidata.org/entity/Q1032424	Hadik Kávéház
http://www.wikidata.org/entity/Q1056404	Cervejaria da Trindade
http://www.wikidata.org/entity/Q1071456	Chez Chartier
http://www.wikidata.org/entity/Q1103056	Club Passim
http://www.wikidata.org/entity/Q1105811	Chez Panisse
http://www.wikidata.org/entity/Q1112859	Ristorante Belvedere
http://www.wikidata.org/entity/Q1127356	Ladó Café
http://www.wikidata.org/entity/Q1133446	Cornelia Street Cafe
http://www.wikidata.org/entity/Q1143940	Cuneo
http://www.wikidata.org/entity/Q1147912	Les Deux Magots
http://www.wikidata.org/entity/Q1184537	Delmonico's
http://www.wikidata.org/entity/Q1224773	Onyx Restaurant
http://www.wikidata.org/entity/Q1235554	Maxim's Paris
http://www.wikidata.org/entity/Q1244227	Fernmeldeturm Mannheim
http://www.wikidata.org/entity/Q1247591	The Courtship Hunting Lodges
http://www.wikidata.org/entity/Q1255039	Per Se
http://www.wikidata.org/entity/Q1255057	wd~50
http://www.wikidata.org/entity/Q1257066	Inat house
