type	typeLabel	subtype	subtypeLabel
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q443	Ich bin ein Berliner
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q160211	Schuman-erklæringen
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q214524	Gettysburg-talen
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q192341	I Have a Dream
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q570589	Posen-talen
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q698255	Sportpalasttalen
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q1145411	Grito de Dolores
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q6028822	Skændsels-talen
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q1994106	Tear down this wall
http://www.wikidata.org/entity/Q861911	tale	http://www.wikidata.org/entity/Q1559179	Pro Caelio
