type	typeLabel
http://www.wikidata.org/entity/Q372	Q372
http://www.wikidata.org/entity/Q593	Q593
http://www.wikidata.org/entity/Q595	De urørlige
http://www.wikidata.org/entity/Q1365	Strandet
http://www.wikidata.org/entity/Q2201	Kick-Ass
http://www.wikidata.org/entity/Q2345	Tolv vrede mænd
http://www.wikidata.org/entity/Q2875	Borte med blæsten
http://www.wikidata.org/entity/Q3092	Q3092
http://www.wikidata.org/entity/Q3187	Q3187
http://www.wikidata.org/entity/Q3208	Q3208
http://www.wikidata.org/entity/Q3242	Q3242
http://www.wikidata.org/entity/Q3589	The Manchurian candidate
http://www.wikidata.org/entity/Q3997	Q3997
http://www.wikidata.org/entity/Q3998	Q3998
http://www.wikidata.org/entity/Q4005	Q4005
http://www.wikidata.org/entity/Q4430	Cleopatra
http://www.wikidata.org/entity/Q4444	Wanted
http://www.wikidata.org/entity/Q4471	Delirious
http://www.wikidata.org/entity/Q4479	Q4479
http://www.wikidata.org/entity/Q4536	Matchstick Men
http://www.wikidata.org/entity/Q4657	Q4657
http://www.wikidata.org/entity/Q4733	Q4733
http://www.wikidata.org/entity/Q4739	Q4739
http://www.wikidata.org/entity/Q4744	Q4744
http://www.wikidata.org/entity/Q4815	Q4815
http://www.wikidata.org/entity/Q4941	Skyfall
http://www.wikidata.org/entity/Q5590	Four Lions
http://www.wikidata.org/entity/Q5890	V for Vendetta
http://www.wikidata.org/entity/Q7216	Q7216
http://www.wikidata.org/entity/Q8328	Bang! - Du er død...
http://www.wikidata.org/entity/Q8547	Q8547
http://www.wikidata.org/entity/Q8907	Q8907
http://www.wikidata.org/entity/Q11593	Luftens sidste mester
http://www.wikidata.org/entity/Q11618	Eraserhead
http://www.wikidata.org/entity/Q11621	E.T.
http://www.wikidata.org/entity/Q11928	Q11928
http://www.wikidata.org/entity/Q12018	8½
http://www.wikidata.org/entity/Q13908	Q13908
http://www.wikidata.org/entity/Q14320	The Day After Tomorrow
http://www.wikidata.org/entity/Q15618	Q15618
http://www.wikidata.org/entity/Q16403	And Now for Something Completely Different
http://www.wikidata.org/entity/Q16453	Q16453
http://www.wikidata.org/entity/Q16458	The Sisterhood of the Traveling Pants 2
http://www.wikidata.org/entity/Q16516	Q16516
http://www.wikidata.org/entity/Q16782	Buried
http://www.wikidata.org/entity/Q17738	Star Wars Episode IV: Et nyt håb
http://www.wikidata.org/entity/Q18331	Hul i broho'det
http://www.wikidata.org/entity/Q18395	Q18395
http://www.wikidata.org/entity/Q18397	Q18397
http://www.wikidata.org/entity/Q18399	Dagdriverne
http://www.wikidata.org/entity/Q18402	La strada
http://www.wikidata.org/entity/Q18403	Krapyl
http://www.wikidata.org/entity/Q18405	Gadepigen Cabiria
http://www.wikidata.org/entity/Q18407	Det søde liv
http://www.wikidata.org/entity/Q18411	Julietta og ånderne
http://www.wikidata.org/entity/Q18415	Histoires extraordinaires
http://www.wikidata.org/entity/Q18416	Fellini Satyricon
http://www.wikidata.org/entity/Q18418	Q18418
http://www.wikidata.org/entity/Q18421	Klovnerne
http://www.wikidata.org/entity/Q18423	Fellini's Roma
http://www.wikidata.org/entity/Q18428	Amarcord
http://www.wikidata.org/entity/Q18429	Fellinis Casanova
http://www.wikidata.org/entity/Q18431	Orkesterprøven
http://www.wikidata.org/entity/Q18433	Kvindebyen
http://www.wikidata.org/entity/Q18437	Og skibet sejler
http://www.wikidata.org/entity/Q18439	Q18439
http://www.wikidata.org/entity/Q18441	Q18441
http://www.wikidata.org/entity/Q18442	Q18442
http://www.wikidata.org/entity/Q18444	Q18444
