# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%20%23%3Fsubtype%20%3FsubtypeLabel%20%23%28COUNT%28%3Fx%29%20AS%20%3Fcnt%29%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%2Fwdt%3AP279%2a%20wd%3AQ744913%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20.%20%7D%0A%20%20%20%20%3Fsitelink%20schema%3Aabout%20%3Ftype%20.%0A%09%3Fsitelink%20schema%3AinLanguage%20%22en%22%20.%0A%20%20%20%20%3Fsitelink%20schema%3AisPartOf%20%5B%20wikibase%3AwikiGroup%20%22wikipedia%22%20%5D%20.%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q11694	American Airlines Flight 11
http://www.wikidata.org/entity/Q11705	United Airlines Flight 175
http://www.wikidata.org/entity/Q18173	Japan Airlines Flight 123
http://www.wikidata.org/entity/Q707497	China Airlines Flight 120
http://www.wikidata.org/entity/Q699055	China Airlines Flight 140
http://www.wikidata.org/entity/Q709416	China Airlines Flight 676
http://www.wikidata.org/entity/Q699195	Far Eastern Air Transport Flight 103
http://www.wikidata.org/entity/Q715683	South African Airways Flight 295
http://www.wikidata.org/entity/Q703762	China Airlines Flight 006
http://www.wikidata.org/entity/Q704766	China Airlines Flight 358
http://www.wikidata.org/entity/Q1434082	B-25 Empire State Building crash
http://www.wikidata.org/entity/Q1434101	1960 Munich Convair 340 crash
http://www.wikidata.org/entity/Q1434079	1967 Nicosia Britannia disaster
http://www.wikidata.org/entity/Q1427211	Flash Airlines Flight 604
http://www.wikidata.org/entity/Q1434078	1972 Königs Wusterhausen air disaster
http://www.wikidata.org/entity/Q1434041	1946 C-53 Skytrooper crash on the Gauli Glacier
http://www.wikidata.org/entity/Q1434037	Sknyliv air show disaster
http://www.wikidata.org/entity/Q1434107	Stockport air disaster
http://www.wikidata.org/entity/Q1428147	Banat Air Flight 166
http://www.wikidata.org/entity/Q1434047	1988 Remscheid A-10 crash
http://www.wikidata.org/entity/Q1439744	Alitalia Flight 4128
http://www.wikidata.org/entity/Q1434045	1943 Gibraltar B-24 crash
http://www.wikidata.org/entity/Q60638	Thai Airways International Flight 114
http://www.wikidata.org/entity/Q43394	Swiss International Airlines Flight 850
http://www.wikidata.org/entity/Q113382	1966 Palomares B-52 crash
http://www.wikidata.org/entity/Q62179	collapse of the World Trade Center
http://www.wikidata.org/entity/Q60266	United Airlines Flight 173
http://www.wikidata.org/entity/Q73736	Petropavlovsk-Kamchatsky Air Flight 251
http://www.wikidata.org/entity/Q100021	PIA Flight 661
