# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%20%23%3Fsubtype%20%3FsubtypeLabel%20%23%28COUNT%28%3Fx%29%20AS%20%3Fcnt%29%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%2Fwdt%3AP279%2a%20wd%3AQ8065%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22en%22%20.%20%7D%0A%20%20%20%20%3Fsitelink%20schema%3Aabout%20%3Ftype%20.%0A%09%3Fsitelink%20schema%3AinLanguage%20%22en%22%20.%0A%20%20%20%20%3Fsitelink%20schema%3AisPartOf%20%5B%20wikibase%3AwikiGroup%20%22wikipedia%22%20%5D%20.%0A%7D
type	typeLabel
http://www.wikidata.org/entity/Q26255	1974 Hunza earthquake
http://www.wikidata.org/entity/Q26293	1967 Caracas earthquake
http://www.wikidata.org/entity/Q24932	2012 Shwebo earthquake
http://www.wikidata.org/entity/Q27608	2012 Guatemala earthquake
http://www.wikidata.org/entity/Q26330	1999 Chamoli earthquake
http://www.wikidata.org/entity/Q26259	1973 Veracruz earthquake
http://www.wikidata.org/entity/Q26258	1967 Mudurnu earthquake
http://www.wikidata.org/entity/Q32610	2011 Virginia earthquake
http://www.wikidata.org/entity/Q36204	2011 Tōhoku earthquake and tsunami
http://www.wikidata.org/entity/Q43777	2010 Haiti earthquake
http://www.wikidata.org/entity/Q38821	2012 Northern Italy earthquakes
http://www.wikidata.org/entity/Q714320	1999 Jiji earthquake
http://www.wikidata.org/entity/Q733739	1138 Aleppo earthquake
http://www.wikidata.org/entity/Q698921	2006 Hengchun earthquake
http://www.wikidata.org/entity/Q722402	1931 Hawke's Bay earthquake
http://www.wikidata.org/entity/Q708250	2009 Hualien earthquake
http://www.wikidata.org/entity/Q698231	1935 Hsinchu-Taichung earthquake
http://www.wikidata.org/entity/Q715495	1896 Sanriku earthquake
http://www.wikidata.org/entity/Q702053	1906 Meishan earthquake
http://www.wikidata.org/entity/Q708503	1964 Baihe earthquake
http://www.wikidata.org/entity/Q130754	2004 Indian Ocean earthquake
http://www.wikidata.org/entity/Q116688	2003 Boumerdès earthquake
http://www.wikidata.org/entity/Q128869	1976 Çaldıran-Muradiye earthquake
http://www.wikidata.org/entity/Q749610	1964 Alaska earthquake
http://www.wikidata.org/entity/Q738843	1897 Assam earthquake
http://www.wikidata.org/entity/Q745411	2009 West Java earthquake
http://www.wikidata.org/entity/Q748301	2008 Iwate-Miyagi Nairiku earthquake
http://www.wikidata.org/entity/Q750144	2010 Canterbury earthquake
http://www.wikidata.org/entity/Q738854	1950 Assam – Tibet earthquake
http://www.wikidata.org/entity/Q1971964	1962 Buin Zahra earthquake
http://www.wikidata.org/entity/Q2097061	2010 Kaohsiung earthquakes
http://www.wikidata.org/entity/Q1847006	1976 Guatemala earthquake
http://www.wikidata.org/entity/Q1866908	2010 Eureka earthquake
http://www.wikidata.org/entity/Q1990627	2003 Bam earthquake
http://www.wikidata.org/entity/Q1824943	1932 Ierissos earthquake
http://www.wikidata.org/entity/Q1812011	2008 Chino Hills earthquake
http://www.wikidata.org/entity/Q1982946	2002 Hindu Kush earthquakes
http://www.wikidata.org/entity/Q2068462	1835 Concepción earthquake
http://www.wikidata.org/entity/Q2060017	292 BC Rhodes earthquake
http://www.wikidata.org/entity/Q2081172	1580 Dover Straits earthquake
http://www.wikidata.org/entity/Q2005565	1957 Guerrero earthquake
http://www.wikidata.org/entity/Q2087165	1978 Tabas earthquake
http://www.wikidata.org/entity/Q3311679	1939 Chillán earthquake
http://www.wikidata.org/entity/Q3274126	2007 Kuril Islands earthquake
http://www.wikidata.org/entity/Q3444725	2002 Dudley earthquake
http://www.wikidata.org/entity/Q3388870	1611 Keicho Sanriku earthquake
http://www.wikidata.org/entity/Q3368167	1976 Songpan-Pingwu earthquake
http://www.wikidata.org/entity/Q3388879	1933 Sanriku earthquake
http://www.wikidata.org/entity/Q3492593	1934 Bihar earthquake
http://www.wikidata.org/entity/Q3299278	2009 Costa Rica earthquake
http://www.wikidata.org/entity/Q3430399	July 2010 Iran earthquake
http://www.wikidata.org/entity/Q3305198	1905 Calabria earthquake
http://www.wikidata.org/entity/Q3373971	1570 Ferrara earthquake
http://www.wikidata.org/entity/Q3444697	2001 Kunlun earthquake
http://www.wikidata.org/entity/Q3408503	1605 Keichō Nankaidō earthquake
