# Output from https://query.wikidata.org/#SELECT%20%3Ftype%20%3FtypeLabel%0AWHERE%0A%7B%0A%09%3Ftype%20wdt%3AP31%20wd%3AQ11424%20.%0A%09SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22nl%22%20.%20%7D%0A%7D%20LIMIT%205000
type	typeLabel
http://www.wikidata.org/entity/Q372	We Live in Public
http://www.wikidata.org/entity/Q593	Les Lyonnais
http://www.wikidata.org/entity/Q595	Intouchables
http://www.wikidata.org/entity/Q1365	Swept Away
http://www.wikidata.org/entity/Q2201	Kick-Ass
http://www.wikidata.org/entity/Q2345	12 Angry Men
http://www.wikidata.org/entity/Q2875	Gone with the Wind
http://www.wikidata.org/entity/Q3092	The Man Between
http://www.wikidata.org/entity/Q3187	Rough Night in Jericho
http://www.wikidata.org/entity/Q3208	Alien Raiders
http://www.wikidata.org/entity/Q3242	A Fantastic Fear of Everything
http://www.wikidata.org/entity/Q3589	The Manchurian Candidate
http://www.wikidata.org/entity/Q3997	Nalaya Manithan
http://www.wikidata.org/entity/Q3998	Adhisaya Manithan
http://www.wikidata.org/entity/Q4005	Vaa Arugil Vaa
http://www.wikidata.org/entity/Q4430	Cleopatra
http://www.wikidata.org/entity/Q4444	Wanted
http://www.wikidata.org/entity/Q4471	Delirious
http://www.wikidata.org/entity/Q4479	Mirageman
http://www.wikidata.org/entity/Q4536	Matchstick Men
http://www.wikidata.org/entity/Q4657	Percy
http://www.wikidata.org/entity/Q4733	Bloodbath at the House of Death
http://www.wikidata.org/entity/Q4739	The Oranges
http://www.wikidata.org/entity/Q4744	Das wandernde Bild
http://www.wikidata.org/entity/Q4815	Percy's Progress
http://www.wikidata.org/entity/Q4941	Skyfall
http://www.wikidata.org/entity/Q5590	Four Lions
http://www.wikidata.org/entity/Q5890	V for Vendetta
http://www.wikidata.org/entity/Q7216	Pirates II: Stagnetti's Revenge
http://www.wikidata.org/entity/Q8328	Gotcha!
http://www.wikidata.org/entity/Q8547	Special Effects: Anything Can Happen
http://www.wikidata.org/entity/Q8907	¿¡Revolución!?
http://www.wikidata.org/entity/Q11593	The Last Airbender
http://www.wikidata.org/entity/Q11618	Eraserhead
http://www.wikidata.org/entity/Q11621	E.T. the Extra-Terrestrial
http://www.wikidata.org/entity/Q11928	Swing Vote
http://www.wikidata.org/entity/Q12018	8½
http://www.wikidata.org/entity/Q13908	Hackers
http://www.wikidata.org/entity/Q14320	The Day After Tomorrow
http://www.wikidata.org/entity/Q15618	Oxygen
http://www.wikidata.org/entity/Q16403	And Now For Something Completely Different
http://www.wikidata.org/entity/Q16453	Bichhoo
http://www.wikidata.org/entity/Q16458	The Sisterhood of the Traveling Pants 2
http://www.wikidata.org/entity/Q16516	Thursday
http://www.wikidata.org/entity/Q16782	Buried
http://www.wikidata.org/entity/Q17738	Star Wars: Episode IV: A New Hope
http://www.wikidata.org/entity/Q18331	Att angöra en brygga
